year,co2,co2_per_capita,share_global_co2,energy_per_capita
1950,0.026,0.003,0.0,
1951,0.029,0.003,0.0,
1952,0.029,0.003,0.0,
1953,0.037,0.004,0.001,
1954,0.04,0.004,0.001,
1955,0.044,0.005,0.001,
1956,0.048,0.005,0.001,
1957,0.055,0.006,0.001,
1958,0.059,0.006,0.001,
1959,0.066,0.007,0.001,
1960,0.081,0.008,0.001,
1961,0.081,0.008,0.001,
1962,0.088,0.008,0.001,
1963,0.099,0.009,0.001,
1964,0.15,0.014,0.001,
1965,0.18,0.016,0.002,
1966,0.191,0.017,0.002,
1967,0.213,0.018,0.002,
1968,0.253,0.021,0.002,
1969,0.399,0.033,0.003,
1970,0.227,0.018,0.002,
1971,0.198,0.016,0.001,
1972,0.267,0.021,0.002,
1973,0.421,0.032,0.002,
1974,0.425,0.031,0.002,
1975,0.352,0.025,0.002,
1976,0.282,0.02,0.002,
1977,0.336,0.023,0.002,
1978,0.329,0.022,0.002,
1979,0.512,0.034,0.003,
1980,0.541,0.035,0.003,118.009
1981,0.453,0.028,0.002,111.204
1982,0.442,0.027,0.002,149.297
1983,0.492,0.03,0.003,156.556
1984,0.701,0.041,0.004,153.127
1985,0.676,0.039,0.003,134.071
1986,0.697,0.039,0.003,178.207
1987,0.861,0.047,0.004,193.178
1988,0.976,0.052,0.004,185.797
1989,0.894,0.047,0.004,183.99
1990,0.721,0.037,0.003,191.964
1991,1.026,0.051,0.004,222.974
1992,1.233,0.06,0.005,241.669
1993,1.397,0.066,0.006,239.042
1994,1.619,0.075,0.007,265.987
1995,2.309,0.104,0.01,275.88
1996,2.353,0.103,0.01,317.513
1997,2.641,0.114,0.011,355.763
1998,2.223,0.094,0.009,437.883
1999,3.191,0.132,0.013,474.374
2000,3.037,0.124,0.012,468.388
2001,3.236,0.13,0.013,478.171
2002,2.596,0.103,0.01,477.54
2003,2.81,0.109,0.01,498.735
2004,2.582,0.099,0.009,483.319
2005,2.987,0.114,0.01,495.115
2006,2.456,0.092,0.008,468.016
2007,2.57,0.096,0.008,456.079
2008,3.355,0.124,0.01,521.395
2009,4.126,0.152,0.013,602.942
2010,4.828,0.177,0.014,646.762
2011,5.217,0.19,0.015,682.33
2012,5.47,0.199,0.016,731.917
2013,6.218,0.225,0.018,785.825
2014,7.588,0.274,0.021,848.153
2015,6.905,0.248,0.02,757.939
2016,10.088,0.361,0.029,1162.287
2017,12.422,0.443,0.035,1333.339
2018,14.039,0.5,0.038,1495.165
2019,12.75,0.449,0.034,1280.682
2020,15.631,0.54,0.044,1574.515
2021,15.486,0.525,0.042,1633.55
2022,17.609,0.593,0.047,1873.664
2023,18.348,0.618,0.048,1935.312
2024,18.776,0.633,0.049,
