country,year,co2_per_capita
Bangladesh,2010,0.355
Bangladesh,2011,0.362
Bangladesh,2012,0.385
Bangladesh,2013,0.414
Bangladesh,2014,0.428
Bangladesh,2015,0.483
Bangladesh,2016,0.508
Bangladesh,2017,0.534
Bangladesh,2018,0.53
Bangladesh,2019,0.575
Bangladesh,2020,0.576
Bangladesh,2021,0.588
Bangladesh,2022,0.603
Bangladesh,2023,0.61
Bangladesh,2024,0.624
China,2010,6.37
China,2011,6.999
China,2012,7.132
China,2013,7.21
China,2014,7.188
China,2015,7.061
China,2016,6.943
China,2017,7.08
China,2018,7.292
China,2019,7.526
China,2020,7.641
China,2021,7.911
China,2022,8.218
China,2023,8.556
China,2024,8.658
India,2010,1.35
India,2011,1.4
India,2012,1.507
India,2013,1.54
India,2014,1.637
India,2015,1.681
India,2016,1.75
India,2017,1.784
India,2018,1.888
India,2019,1.88
India,2020,1.727
India,2021,1.892
India,2022,1.986
India,2023,2.13
India,2024,2.201
Nepal,2010,0.177
Nepal,2011,0.19
Nepal,2012,0.199
Nepal,2013,0.225
Nepal,2014,0.274
Nepal,2015,0.248
Nepal,2016,0.361
Nepal,2017,0.443
Nepal,2018,0.5
Nepal,2019,0.449
Nepal,2020,0.54
Nepal,2021,0.525
Nepal,2022,0.593
Nepal,2023,0.618
Nepal,2024,0.633
Pakistan,2010,0.74
Pakistan,2011,0.734
Pakistan,2012,0.725
Pakistan,2013,0.702
Pakistan,2014,0.704
Pakistan,2015,0.667
Pakistan,2016,0.803
Pakistan,2017,0.949
Pakistan,2018,0.897
Pakistan,2019,0.827
Pakistan,2020,0.917
Pakistan,2021,1.017
Pakistan,2022,0.87
Pakistan,2023,0.755
Pakistan,2024,0.716
